loss,mae,val_loss,val_mae,epoch
582431744.0,20038.5703125,225754496.0,12808.154296875,1
205454544.0,12374.884765625,203903168.0,12379.072265625,2
203331760.0,12326.6240234375,203668688.0,12373.529296875,3
203076320.0,12321.5126953125,203600784.0,12369.646484375,4
202814080.0,12310.916015625,203377216.0,12364.3798828125,5
202624768.0,12306.935546875,203610464.0,12368.02734375,6
202469840.0,12301.6640625,203408496.0,12363.9091796875,7
202305344.0,12297.6162109375,203450560.0,12362.53125,8
202225760.0,12293.80859375,203441952.0,12364.69140625,9
202110368.0,12291.0009765625,203394400.0,12362.0234375,10
201983408.0,12287.291015625,203360720.0,12362.67578125,11
201869296.0,12282.4912109375,203486416.0,12366.3251953125,12
201850896.0,12284.1396484375,203293056.0,12360.2705078125,13
201733888.0,12279.1982421875,203595504.0,12366.0986328125,14
201657616.0,12276.1357421875,203417360.0,12361.7900390625,15
201607744.0,12276.990234375,203427008.0,12361.3310546875,16
201537056.0,12273.2578125,203424752.0,12362.4296875,17
201437568.0,12270.568359375,203276528.0,12358.384765625,18
201429280.0,12270.146484375,203521696.0,12365.18359375,19
201395408.0,12269.6279296875,203348528.0,12361.4365234375,20
201292320.0,12265.9501953125,203791248.0,12370.806640625,21
201260512.0,12264.6240234375,203225424.0,12356.701171875,22
201179072.0,12263.564453125,203291232.0,12357.7373046875,23
201207056.0,12262.1650390625,203351440.0,12359.76953125,24
201085584.0,12259.169921875,203336080.0,12358.146484375,25
201062800.0,12259.5419921875,204025056.0,12376.669921875,26
201052256.0,12258.849609375,203837536.0,12369.6416015625,27
200994752.0,12255.3759765625,203569136.0,12367.138671875,28
200937920.0,12254.98828125,203572032.0,12366.5234375,29
200952816.0,12255.1689453125,203340048.0,12358.11328125,30
200915536.0,12253.76171875,203529472.0,12363.7451171875,31
200875424.0,12253.400390625,203323952.0,12359.544921875,32
